data;id_compra;loja;vendedor;produto;cliente_nome;cliente_genero;forma_pagamento
2025-08-30 13:08:36.183045;0;São Paulo;Ana Oliveira;Tablet Apple Ipad;Jose Roldan;masculino;dinheiro
2025-08-30 14:33:43.615471;1;Florianópolis;Tiago Lima;Fone de Ouvido Sony;Ann Newman;feminino;dinheiro
2025-08-30 15:49:39.462671;2;Belo Horizonte;Fernanda Costa;Smartphone Samsung Galaxy;Kenneth Kinser;masculino;cartão de crédito
2025-08-30 16:17:38.079900;3;Porto Alegre;Roberto Ferreira;Smartwatch Garmin;David Willett;masculino;cartão de crédito
2025-08-30 18:03:41.149522;4;São Paulo;Lucas Pereira;Smartphone Samsung Galaxy;Peter Maille;masculino;pix
2025-08-30 18:05:36.077729;5;Florianópolis;Tiago Lima;Smartphone Samsung Galaxy;Thomas Minyard;masculino;dinheiro
2025-08-31 12:49:39.555693;6;Florianópolis;Tiago Lima;Smartwatch Garmin;Christopher Krob;masculino;pix
2025-08-31 13:26:35.556844;7;Rio de Janeiro;Juliana Almeida;Notebook Dell Inspiron;Alvaro Kersey;masculino;boleto
2025-08-31 21:21:42.031820;8;Porto Alegre;Mariana Gomes;Notebook Dell Inspiron;Erica Hodson;feminino;boleto
2025-08-31 21:34:36.929837;9;Rio de Janeiro;Juliana Almeida;Smartwatch Garmin;Ted Young;masculino;boleto
2025-09-01 12:57:39.538299;10;Florianópolis;Gabriela Santos;Notebook Dell Inspiron;Edward Quintal;masculino;dinheiro
2025-09-01 15:42:36.485808;11;Florianópolis;Tiago Lima;Fone de Ouvido Sony;Katherine Pope;feminino;dinheiro
2025-09-01 17:22:39.474760;12;Belo Horizonte;Fernanda Costa;Fone de Ouvido Sony;Peggy Corona;feminino;pix
2025-09-01 19:43:37.139005;13;Belo Horizonte;Carlos Silva;Smartphone Samsung Galaxy;Claire Shiever;feminino;cartão de crédito
2025-09-01 23:01:45.466713;14;Belo Horizonte;Carlos Silva;Smartwatch Garmin;Aaron Wright;masculino;cartão de crédito
2025-09-02 13:42:40.145632;15;Porto Alegre;Roberto Ferreira;Smartwatch Garmin;Traci Folmer;feminino;dinheiro
2025-09-02 15:24:44.220664;16;São Paulo;Ana Oliveira;Smartwatch Garmin;Lewis Tang;masculino;boleto
2025-09-02 15:45:35.341250;17;Belo Horizonte;Fernanda Costa;Smartwatch Garmin;Isabel Echols;feminino;dinheiro
2025-09-02 15:48:39.553958;18;São Paulo;Ana Oliveira;Smartwatch Garmin;Samuel Mireles;masculino;cartão de crédito
